Timestamp,age,gender,English Sci-Fi movies:,English Thriller Movies:,English Romantic Comedy Movies:,English Action Movies:,English Horror Movies:,English Animated Movies:,Telugu Movies:,Hindi Movies
09-07-2020 16:11,16-20,Female,Interstellar,The Prestige,Titanic,The Lord of the Rings: Return of the King,The Exorcist-1973,The Lion King,Jersey,Taare Zameen Par
09-07-2020 16:13,16-20,Female,Avengers: Endgame,Joker,Titanic,The Lord of the Rings: Return of the King,The Exorcist-1973,The Lion King,Jersey,Taare Zameen Par
09-07-2020 16:14,16-20,Male,Black Panther,The Prestige,"Crazy, Stupid Love",MCU movies,The Shining,Cars,Baahubali,3 idiots
09-07-2020 16:15,16-20,Male,Avengers: Endgame,Joker,Titanic,The Dark Knight,Psycho,The Lion King,Maya Bazar,3 idiots
09-07-2020 16:15,16-20,Female,Jurassic Park-1993,Joker,Titanic,The Dark Knight,The Exorcist-1973,Finding Nemo,Manmadhudu,Zindagi Na Milegi Dobara
09-07-2020 16:15,16-20,Female,The Prestige,The Silence of the Lambs,"Crazy, Stupid Love",The Shawshank Redemption,Psycho,Mulan,Oopiri,3 idiots
09-07-2020 16:16,16-20,Male,Inception,The Dark Knight,The Perks of Being a Wallflower,Fight Club,Psycho,Toy Story,Arjun Reddy,Zindagi Na Milegi Dobara
09-07-2020 16:16,16-20,Male,Avengers: Endgame,Joker,The Notebook,The Dark Knight,Let The Right One In,The Lion King,Jersey,Zindagi Na Milegi Dobara
09-07-2020 16:17,16-20,Female,Interstellar,Parasite,Titanic,The Shawshank Redemption,The Exorcist-1973,Frozen,Baahubali,3 idiots
09-07-2020 16:18,16-20,Female,Jurassic Park-1993,Joker,Titanic,The Godfather,Psycho,The Lion King,Murari,Sanam Teri kasam
09-07-2020 16:20,16-20,Male,Avengers: Endgame,Mad Max : Fury Road,Titanic,Fight Club,The Exorcist-1973,Spider-Man: Into the Spider-Verse,Arjun Reddy,Gangs of Wasseypur
09-07-2020 16:20,16-20,Female,Avengers: Endgame,Joker,Titanic,Forrest Gump-1994,The Exorcist-1973,Spirited Away,Arjun Reddy,Munna Bhai M.B.B.S
09-07-2020 16:20,16-20,Male,Inception,Parasite,Titanic,The Dark Knight,The Shining,Toy Story,Arjun Reddy,3 idiots
09-07-2020 16:21,16-20,Female,Jurassic Park-1993,Joker,Titanic,The Dark Knight,Whatever Happened To Baby Jane,Spider-Man: Into the Spider-Verse,Bommarillu,Zindagi Na Milegi Dobara
09-07-2020 16:21,16-20,Male,Jurassic Park-1993,Joker,The Notebook,The Dark Knight,The Exorcist-1973,Toy Story,Baahubali,Munna Bhai M.B.B.S
09-07-2020 16:21,16-20,Male,Jurassic Park-1993,Jurassic Park,Titanic,Fast and Furious ,Alien,Cars,None,3 idiots
09-07-2020 16:22,21-25,Male,Inception,Mad Max : Fury Road,Titanic,The Dark Knight,Alien,Spider-Man: Into the Spider-Verse,Jersey,3 idiots
09-07-2020 16:22,16-20,Male,The Suicide Squad,Inception,The Perks of Being a Wallflower,Fight Club,Alien,Cars,Baahubali,Taare Zameen Par
09-07-2020 16:24,16-20,Female,Avengers- Infinity War,Joker,Titanic,The Dark Knight,The Exorcist-1973,Finding Nemo,Bommarillu,Taare Zameen Par
09-07-2020 16:24,16-20,Male,Interstellar,Joker,The Notebook,The Shawshank Redemption,Whatever Happened To Baby Jane,Spider-Man: Into the Spider-Verse,Kick,Zindagi Na Milegi Dobara
09-07-2020 16:27,16-20,Female,The Matrix,Interstellar,The Perks of Being a Wallflower,Schindler's List,The Exorcist-1973,Wall-E,Nuvvu Nakku Nachchav,Taare Zameen Par
09-07-2020 16:28,16-20,Male,Avengers: Endgame,Parasite,Titanic,Fight Club,Whatever Happened To Baby Jane,The Lion King,Kick,Munna Bhai M.B.B.S
09-07-2020 16:29,16-20,Female,Interstellar,Parasite,When Harry Met Sally,Fight Club,Rosemary’s baby,Finding Nemo,Mahanati,Kal Ho Na Ho
09-07-2020 16:29,16-20,Female,The Suicide Squad,Jurassic Park,Titanic,Fight Club,The Exorcist-1973,Frozen,Bommarillu,Yeh Jawaani Hai Deewani
09-07-2020 16:32,16-20,Male,Inception,Joker,The Perks of Being a Wallflower,The Shawshank Redemption,The Shining,Spider-Man: Into the Spider-Verse,Jersey,Zindagi Na Milegi Dobara
09-07-2020 16:34,16-20,Female,Journey to the centre of the earth,Joker,The Perks of Being a Wallflower,Pulp Fiction,Psycho,Up,Arjun Reddy,Yeh Jawaani Hai Deewani
09-07-2020 16:35,16-20,Male,Interstellar,Inception,The Perks of Being a Wallflower,The Dark Knight,The Shining,Spider-Man: Into the Spider-Verse,Baahubali,3 idiots
09-07-2020 16:37,16-20,Female,Black Panther,Joker,Titanic,The Dark Knight,Rosemary’s baby,Frozen,Bommarillu,Zindagi Na Milegi Dobara
09-07-2020 16:39,16-20,Male,Jurassic Park-1993,Interstellar,The Notebook,Inception,Rosemary’s baby,The Lion King,Mahanati,Taare Zameen Par
09-07-2020 16:41,16-20,Male,Avengers: Endgame,Joker,Titanic,The Godfather,The Exorcist-1973,The Lion King,Maya Bazar,Zindagi Na Milegi Dobara
09-07-2020 16:42,16-20,Female,Avengers: Endgame,Inception,Titanic,The Dark Knight,The Exorcist-1973,The Lion King,Baahubali,Yeh Jawaani Hai Deewani
09-07-2020 16:42,16-20,Female,Inception,Inception,The Notebook,Inception,Psycho,Frozen,Jersey,3 idiots
09-07-2020 16:42,16-20,Female,Jurassic Park-1993,Jurassic Park,Titanic,The Godfather,Diabolique,Spirited Away,Arjun Reddy,3 idiots
09-07-2020 16:46,16-20,Female,Avengers- Infinity War,Parasite,Titanic,The Dark Knight,Rosemary’s baby,The Lion King,Athadu,Yeh Jawaani Hai Deewani
09-07-2020 16:47,21-25,Male,Avengers: Endgame,The Dark Knight,Titanic,Inception,The Exorcist-1973,Spider-Man: Into the Spider-Verse,Jersey,Zindagi Na Milegi Dobara
09-07-2020 16:49,16-20,Male,Black Panther,Joker,The Notebook,Forrest Gump-1994,The Exorcist-1973,Spider-Man: Into the Spider-Verse,Athadu,Kai Po Che
09-07-2020 16:51,16-20,Female,Jurassic Park-1993,Joker,Titanic,The Lord of the Rings: Return of the King,Diabolique,The Lion King,Manmadhudu,Lagaan: Once Upon A Time In India
09-07-2020 16:51,16-20,Female,Jurassic Park-1993,Inception,The Notebook,,The Exorcist-1973,Toy Story,Khaleja,Munna Bhai M.B.B.S
09-07-2020 16:52,16-20,Male,Pirates of the Caribbean,Jurassic Park,Titanic,The Dark Knight,The Nun,Cars,Kick,Bajrangi Baaijan
09-07-2020 16:53,16-20,Female,Avengers: Endgame,Joker,To all the boys I’ve loved before,Inception,Rosemary’s baby,Frozen,Arjun Reddy,Kal Ho Na Ho
09-07-2020 16:55,16-20,Male,Avengers: Endgame,Joker,Titanic,The Shawshank Redemption,The Exorcist-1973,The Lion King,Baahubali,Yeh Jawaani Hai Deewani
09-07-2020 16:56,21-25,Female,Inception,Joker,The Notebook,The Lord of the Rings: Return of the King,Whatever Happened To Baby Jane,Frozen,Arjun Reddy,Zindagi Na Milegi Dobara
09-07-2020 16:56,16-20,Female,Interstellar,Jurassic Park,The Perks of Being a Wallflower,The Shawshank Redemption,Psycho,Spider-Man: Into the Spider-Verse,Kshanam,3 idiots
09-07-2020 16:58,16-20,Female,Black Panther,Interstellar,The Notebook,The Godfather,Rosemary’s baby,Spider-Man: Into the Spider-Verse,Arjun Reddy,3 idiots
09-07-2020 17:06,16-20,Female,Interstellar,The Dark Knight,Silver Linings Playbook,The Shawshank Redemption,The Exorcist-1973,Wall-E,Kick,Zindagi Na Milegi Dobara
09-07-2020 17:08,16-20,Female,Inception,Inception,Titanic,Inception,The Exorcist-1973,Frozen,Nuvvu Nakku Nachchav,3 idiots
09-07-2020 17:12,21-25,Female,Avengers: Endgame,Joker,The Notebook,The Dark Knight,The Exorcist-1973,Frozen,Arjun Reddy,Gangs of Wasseypur
09-07-2020 17:22,21-25,Male,Black Panther,The Dark Knight,The Notebook,Forrest Gump-1994,Psycho,Up,Rangasthalam,Zindagi Na Milegi Dobara
09-07-2020 17:28,16-20,Male,Avengers- Infinity War,Memento,Titanic,Inception,Rosemary’s baby,The Lion King,Rangasthalam,3 idiots
09-07-2020 17:32,16-20,Female,Avengers: Endgame,Joker,When Harry Met Sally,The Godfather,The Exorcist-1973,Spirited Away,Jersey,Zindagi Na Milegi Dobara
09-07-2020 17:40,16-20,Female,Interstellar,Jurassic Park,The Perks of Being a Wallflower,The Godfather,The Exorcist-1973,Frozen,Bommarillu,3 idiots
09-07-2020 17:40,16-20,Female,Black Panther,Inception,The Princess Bride,Justice League ,The curse of la llorona ,Spider-Man: Into the Spider-Verse,Mahanati,Taare Zameen Par
09-07-2020 17:41,16-20,Female,The Suicide Squad,Interstellar,Titanic,The Dark Knight,Alien,Toy Story,Arjun Reddy,Yeh Jawaani Hai Deewani
09-07-2020 17:45,16-20,Female,Avengers- Infinity War,Inception,"Crazy, Stupid Love",The Dark Knight,It,Up,Kick,Taare Zameen Par
09-07-2020 17:49,16-20,Male,Blade Runner 2049,Shutter Island ,Before Sunset,The Godfather,Insidious ,The Lion King,Bommarillu,Zindagi Na Milegi Dobara
09-07-2020 17:54,16-20,Male,Avengers: Endgame,Inception,The Notebook,Harry potter,Insidious,Spider-Man: Into the Spider-Verse,Jersey,Zindagi Na Milegi Dobara
09-07-2020 17:54,21-25,Female,Black Panther,The Dark Knight,The Perks of Being a Wallflower,Forrest Gump-1994,The Shining,Spider-Man: Into the Spider-Verse,Kick,The Lunchbox
09-07-2020 17:58,16-20,Female,Interstellar,Jurassic Park,Titanic,,Psycho,The Lion King,Jersey,Kal Ho Na Ho
09-07-2020 18:01,16-20,Female,Inception,The Prestige,The Notebook,The Dark Knight,The Exorcist-1973,Frozen,Nuvvu Nakku Nachchav,Yeh Jawaani Hai Deewani
09-07-2020 18:02,16-20,Female,The Matrix,Joker,The Perks of Being a Wallflower,Schindler's List,The Shining,Toy Story,Jersey,Yeh Jawaani Hai Deewani
09-07-2020 18:04,16-20,Female,Jurassic Park-1993,Joker,Before Midnight,The Lord of the Rings: Return of the King,Psycho,Finding Nemo,Mahanati,Yeh Jawaani Hai Deewani
09-07-2020 18:05,16-20,Female,Interstellar,Parasite,500 Days of Summer,The Godfather,The Thing,Spirited Away,Oopiri,3 idiots
09-07-2020 18:11,21-25,Female,Avengers- Infinity War,Inception,The Perks of Being a Wallflower,The Lord of the Rings: Return of the King,Diabolique,The Lion King,Mahanati,Zindagi Na Milegi Dobara
09-07-2020 18:16,21-25,Male,Interstellar,Interstellar,Idk,The Godfather,Idk,The Lion King,Mahanati,Kai Po Che
09-07-2020 18:17,21-25,Male,Inception,Joker,Titanic,Inception,The Exorcist-1973,The Lion King,Khushi,3 idiots
09-07-2020 18:20,16-20,Male,Avengers: Endgame,Inception,Chemical hearts,The Lord of the Rings: Return of the King,Conjuring,Frozen,Baahubali,Taare Zameen Par
09-07-2020 18:24,16-20,Female,Black Panther,Zodiac,The Perks of Being a Wallflower,The Dark Knight,The Shining,The Lion King,Kick,My Name Is Khan
09-07-2020 18:34,16-20,Female,Avengers: Endgame,Joker,The Notebook,Fight Club,Psycho,Spider-Man: Into the Spider-Verse,Mahanati,Yeh Jawaani Hai Deewani
09-07-2020 18:35,16-20,Male,The Prestige,Interstellar,Titanic,Forrest Gump-1994,Psycho,The Lion King,Arjun Reddy,Munna Bhai M.B.B.S
09-07-2020 18:36,16-20,Female,The Suicide Squad,The Dark Knight,Titanic,Pulp Fiction,Diabolique,Frozen,Arjun Reddy,Taare Zameen Par
09-07-2020 18:42,36-40,Male,The Prestige,Jurassic Park,When Harry Met Sally,The Shawshank Redemption,Diabolique,Toy Story,Rangasthalam,Lagaan: Once Upon A Time In India
09-07-2020 18:45,16-20,Female,Interstellar,Interstellar,Titanic,The Dark Knight,Psycho,Finding Nemo,Manmadhudu,3 idiots
09-07-2020 18:47,16-20,Female,The Suicide Squad,Parasite,Before Sunset,,The Exorcist-1973,The Lion King,Haven’t watched any,Zindagi Na Milegi Dobara
09-07-2020 18:53,Nov-15,Female,The Suicide Squad,Joker,The Notebook,Inception,Psycho,Finding Nemo,Mahanati,Yeh Jawaani Hai Deewani
09-07-2020 18:54,Nov-15,Female,Avengers- Infinity War,Inception,The Perks of Being a Wallflower,Inception,The Exorcist-1973,Frozen,Jersey,3 idiots
09-07-2020 18:55,Nov-15,Female,Inception,Parasite,Titanic,The Lord of the Rings: Return of the King,The Exorcist-1973,Coco,"Coco, onward",Taare Zameen Par
09-07-2020 18:55,Nov-15,Female,Inception,Parasite,"Crazy, Stupid Love",The Lord of the Rings: Return of the King,The Exorcist-1973,Frozen,Jersey,3 idiots
09-07-2020 18:58,Nov-15,Female,Jurassic Park-1993,Parasite,When Harry Met Sally,,The Exorcist-1973,Frozen,Jersey,Yeh Jawaani Hai Deewani
09-07-2020 18:59,Nov-15,Female,Interstellar,Inception,Titanic,The Lord of the Rings: Return of the King,The Exorcist-1973,"Coco , onward",Arjun Reddy,Taare Zameen Par
09-07-2020 18:59,Nov-15,Female,Avengers: Endgame,Joker,The Notebook,The Dark Knight,I don’t enjoy horror,Spirited Away,Oopiri,3 idiots
09-07-2020 19:02,16-20,Female,Interstellar,Dunkirk,Clueless,Forrest Gump-1994,Alien,Mulan,Sahasam swasaga sagipo,Yeh Jawaani Hai Deewani
09-07-2020 19:06,16-20,Male,Avengers: Endgame,Mad Max : Fury Road,Titanic,Fight Club,The Exorcist-1973,Spider-Man: Into the Spider-Verse,Arjun Reddy,Gangs of Wasseypur
09-07-2020 19:08,16-20,Female,Interstellar,Inception,Before sunrise,The Shawshank Redemption,Psycho,Up,C/O Kancharapalem,3 idiots
09-07-2020 19:11,16-20,Female,Inception,Joker,The Perks of Being a Wallflower,Inception,Psycho,Toy Story,Mahanati,The Lunchbox
09-07-2020 19:11,21-25,Male,Interstellar,The Prestige,500 Days of Summer,The Godfather,Exorcism of Emily Rose,Up,Athadu,Gangs of Wasseypur
09-07-2020 19:14,16-20,Female,Black Panther,Joker,The Notebook,The Lord of the Rings: Return of the King,Let The Right One In,The Lion King,Jersey,Zindagi Na Milegi Dobara
09-07-2020 19:15,16-20,Female,Black Panther,Joker,The Notebook,The Lord of the Rings: Return of the King,Let The Right One In,The Lion King,Jersey,Zindagi Na Milegi Dobara
09-07-2020 19:17,16-20,Female,Avengers: Endgame,Joker,Titanic,Inception,The Exorcist-1973,Frozen,Arjun Reddy,Yeh Jawaani Hai Deewani
09-07-2020 19:18,16-20,Female,Avengers- Infinity War,Prisoners,The Perks of Being a Wallflower,The Shawshank Redemption,Dont breathe,Frozen,Kshanam,Zindagi Na Milegi Dobara
09-07-2020 19:20,Nov-15,Female,Black Panther,Mad Max : Fury Road,"Crazy, Stupid Love",The Dark Knight,The Shining,Cars,Arjun Reddy,Gangs of Wasseypur
09-07-2020 19:22,Nov-15,Female,Interstellar,Jurassic Park,The christmas prince ,Fight Club,Alien,The Lion King,Maya Bazar,3 idiots
09-07-2020 19:25,16-20,Female,Inception,Joker,The Notebook,The Lord of the Rings: Return of the King,Let The Right One In,Frozen,Kick,Yeh Jawaani Hai Deewani
09-07-2020 19:28,16-20,Female,Jurassic Park-1993,Joker,Titanic,Forrest Gump-1994,Rosemary’s baby,The Lion King,,3 idiots
09-07-2020 19:44,16-20,Male,Interstellar,The Prestige,500 Days of Summer,The Dark Knight,The Exorcist-1973,Toy Story,Athadu,Kai Po Che
09-07-2020 19:46,Nov-15,Male,Avengers: Endgame,Jurassic Park,When Harry Met Sally,,The Exorcist-1973,Spider-Man: Into the Spider-Verse,,Yeh Jawaani Hai Deewani
09-07-2020 19:46,16-20,Female,Interstellar,Parasite,The Perks of Being a Wallflower,Fast and furious,"Cabin in the woods,","Wall E , toy story, frozen",Athadu,Yeh Jawaani Hai Deewani
09-07-2020 19:57,16-20,Male,Inception,Parasite,The Princess Bride,The Dark Knight,The Shining,Spider-Man: Into the Spider-Verse,Jersey,3 idiots
09-07-2020 19:59,16-20,Female,Avengers: Endgame,Shutter island ,Titanic,Black panther ,Insidious ,Monsters university ,Nuvvu Nakku Nachchav,Hindi medium 
09-07-2020 20:00,16-20,Male,Interstellar,Joker,The Notebook,The Shawshank Redemption,Whatever Happened To Baby Jane,Spider-Man: Into the Spider-Verse,Kick,Zindagi Na Milegi Dobara
09-07-2020 20:01,21-25,Female,Interstellar,Joker,The Notebook,The Godfather,The Exorcist-1973,Finding Nemo,Bommarillu,My Name Is Khan
09-07-2020 20:02,Nov-15,Female,The Suicide Squad,Jurassic Park,The Perks of Being a Wallflower,The Lord of the Rings: Return of the King,The Grudge ,Spirited Away,Kick,Zindagi Na Milegi Dobara
09-07-2020 20:04,16-20,Male,Avengers: Endgame,Shutter Island ,The Notebook,The Godfather,Lights out ,Finding Nemo,,3 idiots
09-07-2020 20:12,16-20,Female,Avengers- Infinity War,Parasite,The Perks of Being a Wallflower,,Whatever Happened To Baby Jane,The Lion King,Maya Bazar,Yeh Jawaani Hai Deewani
09-07-2020 20:18,16-20,Male,Inception,The Dark Knight,Titanic,The Lord of the Rings: Return of the King,The Thing,Frozen,Jersey,Zindagi Na Milegi Dobara
09-07-2020 20:25,Nov-15,Female,Avengers: Endgame,Joker,Titanic,Inception,Rosemary’s baby,The Lion King,Arjun Reddy,Yeh Jawaani Hai Deewani
09-07-2020 20:25,Nov-15,Female,Avengers: Endgame,Joker,Titanic,Inception,Rosemary’s baby,The Lion King,Arjun Reddy,Yeh Jawaani Hai Deewani
09-07-2020 20:26,Nov-15,Female,Avengers: Endgame,Joker,Titanic,Inception,Rosemary’s baby,The Lion King,Arjun Reddy,Yeh Jawaani Hai Deewani
09-07-2020 20:30,16-20,Male,Avengers: Endgame,The Dark Knight,"Crazy, Stupid Love",The Lord of the Rings: Return of the King,The Exorcist-1973,Frozen,Athadu,Taare Zameen Par
09-07-2020 20:52,16-20,Female,Avengers- Infinity War,Joker,The Perks of Being a Wallflower,Fight Club,Sixth sense,Spider-Man: Into the Spider-Verse,,Zindagi Na Milegi Dobara
09-07-2020 20:55,16-20,Male,Black Panther,Knives Out ,When Harry Met Sally,Avengers End game,Conjuring ,Frozen,Mahanati,Taare Zameen Par
09-07-2020 20:58,16-20,Male,Interstellar,Executive Decision,Titanic,Terminator Series,Anabelle Series and conjuring,Wall-E,Oopiri,3 idiots
09-07-2020 21:05,16-20,Female,The Matrix,Inception,Titanic,The Godfather,Not a horror person,Coco,Athadu,Taare Zameen Par
09-07-2020 21:08,Nov-15,Male,Avengers: Endgame,Joker,500 Days of Summer,The Dark Knight,Whatever Happened To Baby Jane,The Lion King,Nuvvu Nakku Nachchav,3 idiots
09-07-2020 21:28,16-20,Male,The Matrix,Interstellar,The Notebook,The Godfather,The Exorcist-1973,Spirited Away,,Gangs of Wasseypur
09-07-2020 21:38,16-20,Male,Avengers- Infinity War,The Dark Knight,Titanic,The Dark Knight,Psycho,Cars,Jersey,Zindagi Na Milegi Dobara
09-07-2020 21:41,16-20,Female,Jurassic Park-1993,Jurassic Park,The Notebook,,The Exorcist-1973,Frozen,Arjun Reddy,3 idiots
09-07-2020 21:54,21-25,Male,Avengers: Endgame,Interstellar,Titanic,Inception,Psycho,Finding Nemo,Jersey,Yeh Jawaani Hai Deewani
09-07-2020 22:38,16-20,Female,Avengers: Endgame,Jurassic Park,The Notebook,The Godfather,The Exorcist-1973,The Lion King,Arjun Reddy,3 idiots
09-07-2020 22:49,26-30,Female,Black Panther,The Dark Knight,Titanic,The Dark Knight,The Exorcist-1973,The Lion King,Arjun Reddy,Kal Ho Na Ho
09-07-2020 23:13,16-20,Female,Interstellar,Interstellar,Titanic,The Godfather,Rosemary’s baby,Frozen,Jersey,3 idiots
09-07-2020 23:30,26-30,Female,Avengers: Endgame,Joker,Titanic,The Dark Knight,Alien,The Lion King,Bommarillu,Kai Po Che
09-07-2020 23:33,26-30,Female,Avengers- Infinity War,Interstellar,Titanic,The Shawshank Redemption,Diabolique,The jungle book,Bommarillu,Yeh Jawaani Hai Deewani
09-08-2020 00:20,21-25,Male,Interstellar,The Dark Knight,Silver Linings Playbook,Inception,The Shining,The Lion King,,3 idiots
09-08-2020 00:32,26-30,Female,Inception,Parasite,Titanic,Inception,Psycho,Finding Nemo,Arjun Reddy,Yeh Jawaani Hai Deewani
09-08-2020 00:42,16-20,Female,Black Panther,Jurassic Park,The Notebook,Fight Club,The Shining,The Lion King,Orange,Dear Zindagi
09-08-2020 01:01,16-20,Female,Jurassic Park-1993,Parasite,"Crazy, Stupid Love",Forrest Gump-1994,Rosemary’s baby,Toy Story,Oopiri,Yeh Jawaani Hai Deewani
09-08-2020 01:30,16-20,Male,Avengers: Endgame,Joker,The Princess Bride,The Lord of the Rings: Return of the King,Diabolique,Cars,Baahubali,3 idiots
09-08-2020 01:56,16-20,Male,Interstellar,Joker,Before Midnight,Fight Club,Alien,Toy Story,Khushi,Taare Zameen Par
09-08-2020 02:06,16-20,Female,Avengers: Endgame,Interstellar,The Notebook,The Godfather,The Exorcist-1973,Frozen,Jersey,3 idiots
09-08-2020 08:34,26-30,Female,Avengers- Infinity War,Joker,The Notebook,The Lord of the Rings: Return of the King,Conjuring ,The Lion King,Baahubali,Taare Zameen Par
09-08-2020 08:43,16-20,Male,Interstellar,Parasite,Titanic,The Lord of the Rings: Return of the King,Walking Dead,The Lion King,Baahubali,Taare Zameen Par
09-08-2020 08:53,16-20,Female,Interstellar,Jurassic Park,The Perks of Being a Wallflower,The Godfather,The Exorcist-1973,Frozen,Bommarillu,3 idiots
09-08-2020 08:59,16-20,Male,Avengers- Infinity War,Interstellar,Titanic,Sky fall,Child's play,The Lion King,C/O Kancharapalem,3 idiots
09-08-2020 09:09,16-20,Female,Avengers: Endgame,Jurassic Park,Titanic,Inception,Whatever Happened To Baby Jane,Finding Nemo,Khushi,3 idiots
09-08-2020 10:29,16-20,Female,Avengers: Endgame,Jurassic Park,"Crazy, Stupid Love",Inception,The Thing,The Lion King,Jersey,Zindagi Na Milegi Dobara
09-08-2020 11:11,16-20,Female,Avengers: Endgame,Jurassic Park,Five feet apart,None,Crawl,Frozen,Arjun Reddy,Kal Ho Na Ho
09-08-2020 11:53,16-20,Male,Inception,Interstellar,Before Sunset,The Godfather,Psycho,Spider-Man: Into the Spider-Verse,Jersey,Taare Zameen Par
09-08-2020 11:55,16-20,Male,Interstellar,Inception,The Perks of Being a Wallflower,The Dark Knight,Psycho,Spider-Man: Into the Spider-Verse,Athadu,Yeh Jawaani Hai Deewani
09-08-2020 11:56,16-20,Male,Black Panther,Joker,Titanic,The Lord of the Rings: Return of the King,Alien,Cars,Baahubali,Yeh Jawaani Hai Deewani
09-08-2020 12:21,16-20,Male,Interstellar,Memento,Before Sunset,The Godfather,Psycho,Spider-Man: Into the Spider-Verse, Yevade Subramanyam ,Munna Bhai M.B.B.S
09-08-2020 13:29,16-20,Male,Avengers: Endgame,Interstellar,The Notebook,The Dark Knight,The Cabinet of Dr. Caligari,The Lion King,Arjun Reddy,3 idiots
09-08-2020 13:57,21-25,Female,Interstellar,Parasite,"Crazy, Stupid Love",Inception,The Shining,Spirited Away,Maya Bazar,Zindagi Na Milegi Dobara
09-08-2020 13:59,16-20,Female,The Suicide Squad,Interstellar,The Perks of Being a Wallflower,Fight Club,Whatever Happened To Baby Jane,Finding Nemo,Bommarillu,3 idiots
09-08-2020 14:52,26-30,Female,Mad Max: Fury Road,Joker,Titanic,The Godfather,Alien,The Lion King,C/O Kancharapalem,3 idiots
09-08-2020 15:02,21-25,Male,Inception,The Dark Knight,Titanic,Fight Club,Conjuring ,Finding Nemo,Kick,3 idiots
09-08-2020 15:09,21-25,Male,Avengers- Infinity War,The Dark Knight,Titanic,Inception,Conjuring,Cars,Athadu,3 idiots
09-08-2020 15:11,16-20,Female,Avengers: Endgame,Joker,Titanic,Fight Club,Psycho,Spider-Man: Into the Spider-Verse,Maya Bazar,3 idiots
09-08-2020 20:41,26-30,Female,Avengers- Infinity War,Joker,The Notebook,The Lord of the Rings: Return of the King,Conjuring ,The Lion King,Baahubali,Taare Zameen Par
09-08-2020 21:36,26-30,Male,The Prestige,Memento,Titanic,The Shawshank Redemption,The Cabinet of Dr. Caligari,Mulan,C/O Kancharapalem,Yeh Jawaani Hai Deewani
09-09-2020 05:31,31-35,Female,Jurassic Park-1993,Jurassic Park,Titanic,The Lord of the Rings: Return of the King,Alien,Spider-Man: Into the Spider-Verse,Oopiri,3 idiots
09-09-2020 09:41,16-20,Male,The Matrix,Memento,500 Days of Summer,Fight Club,The Exorcist-1973,Cars,Jersey,
09-09-2020 09:44,16-20,Male,The Matrix,The Dark Knight,500 Days of Summer,Pulp Fiction,The Shining,Spider-Man: Into the Spider-Verse,Baahubali,Kai Po Che
09-09-2020 09:59,16-20,Male,Inception,Parasite,Titanic,Forrest Gump-1994,The Shining,Cars,C/O Kancharapalem,Taare Zameen Par
09-09-2020 11:11,16-20,Female,Inception,Jurassic Park,The Notebook,Inception,The Exorcist-1973,The Lion King,Nuvvu Nakku Nachchav,Yeh Jawaani Hai Deewani
09-09-2020 11:21,16-20,Male,Inception,Memento,500 Days of Summer,The Dark Knight,The Exorcist-1973,The Lion King,Kshanam,3 idiots
